area	lon_wmc	lat_wmc	area_ext_coord	indx	indy
A066	1.761295	40.955572	[(1.416666666666666, 40.71914746666667), (2.1083333333333334, 40.71914746666667), (2.1083333333333334, 41.24310484), (1.416666666666666, 41.24310484), (1.416666666666666, 40.71914746666667)]	10	20
A067	2.031250	41.250000	[(1.416666666666666, 41.24310484), (2.1083333333333334, 41.24310484), (2.1083333333333334, 41.76706221333333), (1.416666666666666, 41.76706221333333), (1.416666666666666, 41.24310484)]	10	21
A068	2.432218	36.828345	[(2.1083333333333334, 36.52748848), (2.8000000000000007, 36.52748848), (2.8000000000000007, 37.051445853333334), (2.1083333333333334, 37.051445853333334), (2.1083333333333334, 36.52748848)]	11	12
A069	2.437500	37.312500	[(2.1083333333333334, 37.051445853333334), (2.8000000000000007, 37.051445853333334), (2.8000000000000007, 37.575403226666666), (2.1083333333333334, 37.575403226666666), (2.1083333333333334, 37.051445853333334)]	11	13
A070	2.437500	37.843750	[(2.1083333333333334, 37.575403226666666), (2.8000000000000007, 37.575403226666666), (2.8000000000000007, 38.0993606), (2.1083333333333334, 38.0993606), (2.1083333333333334, 37.575403226666666)]	11	14
A071	2.437500	38.343750	[(2.1083333333333334, 38.0993606), (2.8000000000000007, 38.0993606), (2.8000000000000007, 38.62331797333333), (2.1083333333333334, 38.62331797333333), (2.1083333333333334, 38.0993606)]	11	15
A072	2.437500	38.875000	[(2.1083333333333334, 38.62331797333333), (2.8000000000000007, 38.62331797333333), (2.8000000000000007, 39.14727534666667), (2.1083333333333334, 39.14727534666667), (2.1083333333333334, 38.62331797333333)]	11	16
A073	2.393382	39.360294	[(2.1083333333333334, 39.14727534666667), (2.8000000000000007, 39.14727534666667), (2.8000000000000007, 39.67123272), (2.1083333333333334, 39.67123272), (2.1083333333333334, 39.14727534666667)]	11	17
A074	2.410511	39.963068	[(2.1083333333333334, 39.67123272), (2.8000000000000007, 39.67123272), (2.8000000000000007, 40.19519009333333), (2.1083333333333334, 40.19519009333333), (2.1083333333333334, 39.67123272)]	11	18
A075	2.437500	40.468750	[(2.1083333333333334, 40.19519009333333), (2.8000000000000007, 40.19519009333333), (2.8000000000000007, 40.71914746666667), (2.1083333333333334, 40.71914746666667), (2.1083333333333334, 40.19519009333333)]	11	19
A076	2.437500	40.968750	[(2.1083333333333334, 40.71914746666667), (2.8000000000000007, 40.71914746666667), (2.8000000000000007, 41.24310484), (2.1083333333333334, 41.24310484), (2.1083333333333334, 40.71914746666667)]	11	20
A077	2.514031	41.380102	[(2.1083333333333334, 41.24310484), (2.8000000000000007, 41.24310484), (2.8000000000000007, 41.76706221333333), (2.1083333333333334, 41.76706221333333), (2.1083333333333334, 41.24310484)]	11	21
A078	3.125000	36.906977	[(2.8000000000000007, 36.52748848), (3.491666666666667, 36.52748848), (3.491666666666667, 37.051445853333334), (2.8000000000000007, 37.051445853333334), (2.8000000000000007, 36.52748848)]	12	12
A079	3.125000	37.312500	[(2.8000000000000007, 37.051445853333334), (3.491666666666667, 37.051445853333334), (3.491666666666667, 37.575403226666666), (2.8000000000000007, 37.575403226666666), (2.8000000000000007, 37.051445853333334)]	12	13
A080	3.125000	37.843750	[(2.8000000000000007, 37.575403226666666), (3.491666666666667, 37.575403226666666), (3.491666666666667, 38.0993606), (2.8000000000000007, 38.0993606), (2.8000000000000007, 37.575403226666666)]	12	14
A081	3.125000	38.343750	[(2.8000000000000007, 38.0993606), (3.491666666666667, 38.0993606), (3.491666666666667, 38.62331797333333), (2.8000000000000007, 38.62331797333333), (2.8000000000000007, 38.0993606)]	12	15
A082	3.125000	38.875000	[(2.8000000000000007, 38.62331797333333), (3.491666666666667, 38.62331797333333), (3.491666666666667, 39.14727534666667), (2.8000000000000007, 39.14727534666667), (2.8000000000000007, 38.62331797333333)]	12	16
A083	3.200581	39.306686	[(2.8000000000000007, 39.14727534666667), (3.491666666666667, 39.14727534666667), (3.491666666666667, 39.67123272), (2.8000000000000007, 39.67123272), (2.8000000000000007, 39.14727534666667)]	12	17
A084	3.152778	40.030754	[(2.8000000000000007, 39.67123272), (3.491666666666667, 39.67123272), (3.491666666666667, 40.19519009333333), (2.8000000000000007, 40.19519009333333), (2.8000000000000007, 39.67123272)]	12	18
A085	3.125000	40.468750	[(2.8000000000000007, 40.19519009333333), (3.491666666666667, 40.19519009333333), (3.491666666666667, 40.71914746666667), (2.8000000000000007, 40.71914746666667), (2.8000000000000007, 40.19519009333333)]	12	19
A086	3.125000	40.968750	[(2.8000000000000007, 40.71914746666667), (3.491666666666667, 40.71914746666667), (3.491666666666667, 41.24310484), (2.8000000000000007, 41.24310484), (2.8000000000000007, 40.71914746666667)]	12	20
